condition_group,condition,therapy_group,therapy,clinicaltrials_n,pubmed_n,trials_url,articles_url,year_min,year_max,study_types,countries,evidence_direction,effect_size_estimate,quality_rating,sample_size_min,source,country,last_updated
Musculoskeletal & Pain,Chronic Pain,Traditional,Acupuncture,21,1563,https://clinicaltrials.gov/search?cond=%28Chronic+Pain%29+AND+%28Acupuncture%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Pain%22+OR+%22chronic+pain%22%29+AND+%28%22Acupuncture%22+OR+%22acupuncture%22+OR+%22electroacupuncture%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Chronic Pain,Behavioural & Lifestyle,Aromatherapy,2,54,https://clinicaltrials.gov/search?cond=%28Chronic+Pain%29+AND+%28Aromatherapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Pain%22+OR+%22chronic+pain%22%29+AND+%28%22Aromatherapy%22+OR+%22aromatherapy%22+OR+%22essential+oils%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Chronic Pain,Traditional,Ayurveda,0,23,https://clinicaltrials.gov/search?cond=%28Chronic+Pain%29+AND+%28Ayurveda%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Pain%22+OR+%22chronic+pain%22%29+AND+%28%22Ayurveda%22+OR+%22ayurveda%22+OR+%22ayurvedic%22+OR+%22ayurvedic+medicine%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Chronic Pain,Behavioural & Lifestyle,Cognitive Behavioural Therapy,51,1801,https://clinicaltrials.gov/search?cond=%28Chronic+Pain%29+AND+%28Cognitive+Behavioural+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Pain%22+OR+%22chronic+pain%22%29+AND+%28%22Cognitive+Behavioural+Therapy%22+OR+%22cognitive+behavioral+therapy%22+OR+%22cbt%22+OR+%22cognitive+behaviour+therapy%22%29,,,,,Mixed,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Chronic Pain,Behavioural & Lifestyle,Exercise Therapy,16,1587,https://clinicaltrials.gov/search?cond=%28Chronic+Pain%29+AND+%28Exercise+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Pain%22+OR+%22chronic+pain%22%29+AND+%28%22Exercise+Therapy%22+OR+%22exercise+therapy%22+OR+%22therapeutic+exercise%22+OR+%22physical+exercise%22+OR+%22exercise+intervention%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Chronic Pain,Traditional,Herbal,1,318,https://clinicaltrials.gov/search?cond=%28Chronic+Pain%29+AND+%28Herbal%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Pain%22+OR+%22chronic+pain%22%29+AND+%28%22Herbal%22+OR+%22herbal%22+OR+%22herbal+medicine%22+OR+%22phytotherapy%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Chronic Pain,Behavioural & Lifestyle,Massage,3,456,https://clinicaltrials.gov/search?cond=%28Chronic+Pain%29+AND+%28Massage%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Pain%22+OR+%22chronic+pain%22%29+AND+%28%22Massage%22+OR+%22massage%22+OR+%22massage+therapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Chronic Pain,Mind–Body,Meditation,81,1009,https://clinicaltrials.gov/search?cond=%28Chronic+Pain%29+AND+%28Meditation%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Pain%22+OR+%22chronic+pain%22%29+AND+%28%22Meditation%22+OR+%22meditation%22+OR+%22mindfulness%22+OR+%22mbsr%22+OR+%22mindfulness-based+stress+reduction%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Chronic Pain,Mind–Body,Qi Gong,3,64,https://clinicaltrials.gov/search?cond=%28Chronic+Pain%29+AND+%28Qi+Gong%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Pain%22+OR+%22chronic+pain%22%29+AND+%28%22Qi+Gong%22+OR+%22qigong%22+OR+%22chi+kung%22+OR+%22qi+gong%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Chronic Pain,Mind–Body,Tai Chi,6,109,https://clinicaltrials.gov/search?cond=%28Chronic+Pain%29+AND+%28Tai+Chi%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Pain%22+OR+%22chronic+pain%22%29+AND+%28%22Tai+Chi%22+OR+%22tai+chi%22+OR+%22taiji%22+OR+%22tai+ji%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Chronic Pain,Mind–Body,Yoga,29,361,https://clinicaltrials.gov/search?cond=%28Chronic+Pain%29+AND+%28Yoga%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Chronic+Pain%22+OR+%22chronic+pain%22%29+AND+%28%22Yoga%22+OR+%22yoga%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Depression,Traditional,Acupuncture,40,2666,https://clinicaltrials.gov/search?cond=%28Depression%29+AND+%28Acupuncture%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Depression%22+OR+%22depression%22%29+AND+%28%22Acupuncture%22+OR+%22acupuncture%22+OR+%22electroacupuncture%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Depression,Behavioural & Lifestyle,Aromatherapy,3,315,https://clinicaltrials.gov/search?cond=%28Depression%29+AND+%28Aromatherapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Depression%22+OR+%22depression%22%29+AND+%28%22Aromatherapy%22+OR+%22aromatherapy%22+OR+%22essential+oils%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Depression,Traditional,Ayurveda,1,207,https://clinicaltrials.gov/search?cond=%28Depression%29+AND+%28Ayurveda%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Depression%22+OR+%22depression%22%29+AND+%28%22Ayurveda%22+OR+%22ayurveda%22+OR+%22ayurvedic%22+OR+%22ayurvedic+medicine%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Depression,Behavioural & Lifestyle,Cognitive Behavioural Therapy,378,14940,https://clinicaltrials.gov/search?cond=%28Depression%29+AND+%28Cognitive+Behavioural+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Depression%22+OR+%22depression%22%29+AND+%28%22Cognitive+Behavioural+Therapy%22+OR+%22cognitive+behavioral+therapy%22+OR+%22cbt%22+OR+%22cognitive+behaviour+therapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Depression,Behavioural & Lifestyle,Exercise Therapy,26,4812,https://clinicaltrials.gov/search?cond=%28Depression%29+AND+%28Exercise+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Depression%22+OR+%22depression%22%29+AND+%28%22Exercise+Therapy%22+OR+%22exercise+therapy%22+OR+%22therapeutic+exercise%22+OR+%22physical+exercise%22+OR+%22exercise+intervention%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Depression,Traditional,Herbal,2,3330,https://clinicaltrials.gov/search?cond=%28Depression%29+AND+%28Herbal%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Depression%22+OR+%22depression%22%29+AND+%28%22Herbal%22+OR+%22herbal%22+OR+%22herbal+medicine%22+OR+%22phytotherapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Depression,Behavioural & Lifestyle,Massage,17,691,https://clinicaltrials.gov/search?cond=%28Depression%29+AND+%28Massage%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Depression%22+OR+%22depression%22%29+AND+%28%22Massage%22+OR+%22massage%22+OR+%22massage+therapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Depression,Mind–Body,Meditation,227,5655,https://clinicaltrials.gov/search?cond=%28Depression%29+AND+%28Meditation%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Depression%22+OR+%22depression%22%29+AND+%28%22Meditation%22+OR+%22meditation%22+OR+%22mindfulness%22+OR+%22mbsr%22+OR+%22mindfulness-based+stress+reduction%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Depression,Mind–Body,Qi Gong,4,304,https://clinicaltrials.gov/search?cond=%28Depression%29+AND+%28Qi+Gong%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Depression%22+OR+%22depression%22%29+AND+%28%22Qi+Gong%22+OR+%22qigong%22+OR+%22chi+kung%22+OR+%22qi+gong%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Depression,Mind–Body,Tai Chi,4,476,https://clinicaltrials.gov/search?cond=%28Depression%29+AND+%28Tai+Chi%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Depression%22+OR+%22depression%22%29+AND+%28%22Tai+Chi%22+OR+%22tai+chi%22+OR+%22taiji%22+OR+%22tai+ji%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Depression,Mind–Body,Yoga,65,1472,https://clinicaltrials.gov/search?cond=%28Depression%29+AND+%28Yoga%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Depression%22+OR+%22depression%22%29+AND+%28%22Yoga%22+OR+%22yoga%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Eating Disorders,Traditional,Acupuncture,0,18,https://clinicaltrials.gov/search?cond=%28Eating+Disorders%29+AND+%28Acupuncture%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Eating+Disorders%22+OR+%22eating+disorders%22%29+AND+%28%22Acupuncture%22+OR+%22acupuncture%22+OR+%22electroacupuncture%22%29,,,,,Mixed,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Eating Disorders,Behavioural & Lifestyle,Aromatherapy,0,4,https://clinicaltrials.gov/search?cond=%28Eating+Disorders%29+AND+%28Aromatherapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Eating+Disorders%22+OR+%22eating+disorders%22%29+AND+%28%22Aromatherapy%22+OR+%22aromatherapy%22+OR+%22essential+oils%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Eating Disorders,Traditional,Ayurveda,0,3,https://clinicaltrials.gov/search?cond=%28Eating+Disorders%29+AND+%28Ayurveda%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Eating+Disorders%22+OR+%22eating+disorders%22%29+AND+%28%22Ayurveda%22+OR+%22ayurveda%22+OR+%22ayurvedic%22+OR+%22ayurvedic+medicine%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Eating Disorders,Behavioural & Lifestyle,Cognitive Behavioural Therapy,20,1492,https://clinicaltrials.gov/search?cond=%28Eating+Disorders%29+AND+%28Cognitive+Behavioural+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Eating+Disorders%22+OR+%22eating+disorders%22%29+AND+%28%22Cognitive+Behavioural+Therapy%22+OR+%22cognitive+behavioral+therapy%22+OR+%22cbt%22+OR+%22cognitive+behaviour+therapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Eating Disorders,Behavioural & Lifestyle,Exercise Therapy,0,141,https://clinicaltrials.gov/search?cond=%28Eating+Disorders%29+AND+%28Exercise+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Eating+Disorders%22+OR+%22eating+disorders%22%29+AND+%28%22Exercise+Therapy%22+OR+%22exercise+therapy%22+OR+%22therapeutic+exercise%22+OR+%22physical+exercise%22+OR+%22exercise+intervention%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Eating Disorders,Traditional,Herbal,0,29,https://clinicaltrials.gov/search?cond=%28Eating+Disorders%29+AND+%28Herbal%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Eating+Disorders%22+OR+%22eating+disorders%22%29+AND+%28%22Herbal%22+OR+%22herbal%22+OR+%22herbal+medicine%22+OR+%22phytotherapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Eating Disorders,Behavioural & Lifestyle,Massage,0,18,https://clinicaltrials.gov/search?cond=%28Eating+Disorders%29+AND+%28Massage%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Eating+Disorders%22+OR+%22eating+disorders%22%29+AND+%28%22Massage%22+OR+%22massage%22+OR+%22massage+therapy%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Eating Disorders,Mind–Body,Meditation,2,243,https://clinicaltrials.gov/search?cond=%28Eating+Disorders%29+AND+%28Meditation%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Eating+Disorders%22+OR+%22eating+disorders%22%29+AND+%28%22Meditation%22+OR+%22meditation%22+OR+%22mindfulness%22+OR+%22mbsr%22+OR+%22mindfulness-based+stress+reduction%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Eating Disorders,Mind–Body,Qi Gong,0,1,https://clinicaltrials.gov/search?cond=%28Eating+Disorders%29+AND+%28Qi+Gong%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Eating+Disorders%22+OR+%22eating+disorders%22%29+AND+%28%22Qi+Gong%22+OR+%22qigong%22+OR+%22chi+kung%22+OR+%22qi+gong%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Eating Disorders,Mind–Body,Tai Chi,0,1,https://clinicaltrials.gov/search?cond=%28Eating+Disorders%29+AND+%28Tai+Chi%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Eating+Disorders%22+OR+%22eating+disorders%22%29+AND+%28%22Tai+Chi%22+OR+%22tai+chi%22+OR+%22taiji%22+OR+%22tai+ji%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Mental Health,Eating Disorders,Mind–Body,Yoga,1,83,https://clinicaltrials.gov/search?cond=%28Eating+Disorders%29+AND+%28Yoga%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Eating+Disorders%22+OR+%22eating+disorders%22%29+AND+%28%22Yoga%22+OR+%22yoga%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Women's Health,Endometriosis,Traditional,Acupuncture,5,115,https://clinicaltrials.gov/search?cond=%28Endometriosis%29+AND+%28Acupuncture%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Endometriosis%22+OR+%22endometriosis%22%29+AND+%28%22Acupuncture%22+OR+%22acupuncture%22+OR+%22electroacupuncture%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Women's Health,Endometriosis,Behavioural & Lifestyle,Aromatherapy,0,4,https://clinicaltrials.gov/search?cond=%28Endometriosis%29+AND+%28Aromatherapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Endometriosis%22+OR+%22endometriosis%22%29+AND+%28%22Aromatherapy%22+OR+%22aromatherapy%22+OR+%22essential+oils%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Women's Health,Endometriosis,Traditional,Ayurveda,0,11,https://clinicaltrials.gov/search?cond=%28Endometriosis%29+AND+%28Ayurveda%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Endometriosis%22+OR+%22endometriosis%22%29+AND+%28%22Ayurveda%22+OR+%22ayurveda%22+OR+%22ayurvedic%22+OR+%22ayurvedic+medicine%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Women's Health,Endometriosis,Behavioural & Lifestyle,Cognitive Behavioural Therapy,2,31,https://clinicaltrials.gov/search?cond=%28Endometriosis%29+AND+%28Cognitive+Behavioural+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Endometriosis%22+OR+%22endometriosis%22%29+AND+%28%22Cognitive+Behavioural+Therapy%22+OR+%22cognitive+behavioral+therapy%22+OR+%22cbt%22+OR+%22cognitive+behaviour+therapy%22%29,,,,,Mixed,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Women's Health,Endometriosis,Behavioural & Lifestyle,Exercise Therapy,3,33,https://clinicaltrials.gov/search?cond=%28Endometriosis%29+AND+%28Exercise+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Endometriosis%22+OR+%22endometriosis%22%29+AND+%28%22Exercise+Therapy%22+OR+%22exercise+therapy%22+OR+%22therapeutic+exercise%22+OR+%22physical+exercise%22+OR+%22exercise+intervention%22%29,,,,,Mixed,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Women's Health,Endometriosis,Traditional,Herbal,1,300,https://clinicaltrials.gov/search?cond=%28Endometriosis%29+AND+%28Herbal%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Endometriosis%22+OR+%22endometriosis%22%29+AND+%28%22Herbal%22+OR+%22herbal%22+OR+%22herbal+medicine%22+OR+%22phytotherapy%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Women's Health,Endometriosis,Behavioural & Lifestyle,Massage,1,18,https://clinicaltrials.gov/search?cond=%28Endometriosis%29+AND+%28Massage%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Endometriosis%22+OR+%22endometriosis%22%29+AND+%28%22Massage%22+OR+%22massage%22+OR+%22massage+therapy%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Women's Health,Endometriosis,Mind–Body,Meditation,4,31,https://clinicaltrials.gov/search?cond=%28Endometriosis%29+AND+%28Meditation%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Endometriosis%22+OR+%22endometriosis%22%29+AND+%28%22Meditation%22+OR+%22meditation%22+OR+%22mindfulness%22+OR+%22mbsr%22+OR+%22mindfulness-based+stress+reduction%22%29,,,,,Mixed,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Women's Health,Endometriosis,Mind–Body,Qi Gong,0,1,https://clinicaltrials.gov/search?cond=%28Endometriosis%29+AND+%28Qi+Gong%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Endometriosis%22+OR+%22endometriosis%22%29+AND+%28%22Qi+Gong%22+OR+%22qigong%22+OR+%22chi+kung%22+OR+%22qi+gong%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Women's Health,Endometriosis,Mind–Body,Tai Chi,0,1,https://clinicaltrials.gov/search?cond=%28Endometriosis%29+AND+%28Tai+Chi%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Endometriosis%22+OR+%22endometriosis%22%29+AND+%28%22Tai+Chi%22+OR+%22tai+chi%22+OR+%22taiji%22+OR+%22tai+ji%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Women's Health,Endometriosis,Mind–Body,Yoga,3,23,https://clinicaltrials.gov/search?cond=%28Endometriosis%29+AND+%28Yoga%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Endometriosis%22+OR+%22endometriosis%22%29+AND+%28%22Yoga%22+OR+%22yoga%22%29,,,,,Mixed,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Fibromyalgia,Traditional,Acupuncture,22,301,https://clinicaltrials.gov/search?cond=%28Fibromyalgia%29+AND+%28Acupuncture%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Fibromyalgia%22+OR+%22fibromyalgia%22%29+AND+%28%22Acupuncture%22+OR+%22acupuncture%22+OR+%22electroacupuncture%22%29,,,,,Unclear,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Fibromyalgia,Behavioural & Lifestyle,Aromatherapy,0,7,https://clinicaltrials.gov/search?cond=%28Fibromyalgia%29+AND+%28Aromatherapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Fibromyalgia%22+OR+%22fibromyalgia%22%29+AND+%28%22Aromatherapy%22+OR+%22aromatherapy%22+OR+%22essential+oils%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Fibromyalgia,Traditional,Ayurveda,0,12,https://clinicaltrials.gov/search?cond=%28Fibromyalgia%29+AND+%28Ayurveda%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Fibromyalgia%22+OR+%22fibromyalgia%22%29+AND+%28%22Ayurveda%22+OR+%22ayurveda%22+OR+%22ayurvedic%22+OR+%22ayurvedic+medicine%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Fibromyalgia,Behavioural & Lifestyle,Cognitive Behavioural Therapy,16,486,https://clinicaltrials.gov/search?cond=%28Fibromyalgia%29+AND+%28Cognitive+Behavioural+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Fibromyalgia%22+OR+%22fibromyalgia%22%29+AND+%28%22Cognitive+Behavioural+Therapy%22+OR+%22cognitive+behavioral+therapy%22+OR+%22cbt%22+OR+%22cognitive+behaviour+therapy%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Fibromyalgia,Behavioural & Lifestyle,Exercise Therapy,11,709,https://clinicaltrials.gov/search?cond=%28Fibromyalgia%29+AND+%28Exercise+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Fibromyalgia%22+OR+%22fibromyalgia%22%29+AND+%28%22Exercise+Therapy%22+OR+%22exercise+therapy%22+OR+%22therapeutic+exercise%22+OR+%22physical+exercise%22+OR+%22exercise+intervention%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Fibromyalgia,Traditional,Herbal,1,65,https://clinicaltrials.gov/search?cond=%28Fibromyalgia%29+AND+%28Herbal%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Fibromyalgia%22+OR+%22fibromyalgia%22%29+AND+%28%22Herbal%22+OR+%22herbal%22+OR+%22herbal+medicine%22+OR+%22phytotherapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Fibromyalgia,Behavioural & Lifestyle,Massage,7,123,https://clinicaltrials.gov/search?cond=%28Fibromyalgia%29+AND+%28Massage%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Fibromyalgia%22+OR+%22fibromyalgia%22%29+AND+%28%22Massage%22+OR+%22massage%22+OR+%22massage+therapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Fibromyalgia,Mind–Body,Meditation,17,207,https://clinicaltrials.gov/search?cond=%28Fibromyalgia%29+AND+%28Meditation%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Fibromyalgia%22+OR+%22fibromyalgia%22%29+AND+%28%22Meditation%22+OR+%22meditation%22+OR+%22mindfulness%22+OR+%22mbsr%22+OR+%22mindfulness-based+stress+reduction%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Fibromyalgia,Mind–Body,Qi Gong,4,47,https://clinicaltrials.gov/search?cond=%28Fibromyalgia%29+AND+%28Qi+Gong%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Fibromyalgia%22+OR+%22fibromyalgia%22%29+AND+%28%22Qi+Gong%22+OR+%22qigong%22+OR+%22chi+kung%22+OR+%22qi+gong%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Fibromyalgia,Mind–Body,Tai Chi,6,70,https://clinicaltrials.gov/search?cond=%28Fibromyalgia%29+AND+%28Tai+Chi%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Fibromyalgia%22+OR+%22fibromyalgia%22%29+AND+%28%22Tai+Chi%22+OR+%22tai+chi%22+OR+%22taiji%22+OR+%22tai+ji%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Fibromyalgia,Mind–Body,Yoga,4,72,https://clinicaltrials.gov/search?cond=%28Fibromyalgia%29+AND+%28Yoga%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Fibromyalgia%22+OR+%22fibromyalgia%22%29+AND+%28%22Yoga%22+OR+%22yoga%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Headache,Traditional,Acupuncture,19,1092,https://clinicaltrials.gov/search?cond=%28Headache%29+AND+%28Acupuncture%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Headache%22+OR+%22headache+disorders%22+OR+%22headache+disorders%2C+primary%22+OR+%22headache%22%29+AND+%28%22Acupuncture%22+OR+%22acupuncture%22+OR+%22electroacupuncture%22%29,,,,,Negative,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Headache,Behavioural & Lifestyle,Aromatherapy,2,51,https://clinicaltrials.gov/search?cond=%28Headache%29+AND+%28Aromatherapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Headache%22+OR+%22headache+disorders%22+OR+%22headache+disorders%2C+primary%22+OR+%22headache%22%29+AND+%28%22Aromatherapy%22+OR+%22aromatherapy%22+OR+%22essential+oils%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Headache,Traditional,Ayurveda,0,66,https://clinicaltrials.gov/search?cond=%28Headache%29+AND+%28Ayurveda%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Headache%22+OR+%22headache+disorders%22+OR+%22headache+disorders%2C+primary%22+OR+%22headache%22%29+AND+%28%22Ayurveda%22+OR+%22ayurveda%22+OR+%22ayurvedic%22+OR+%22ayurvedic+medicine%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
Musculoskeletal & Pain,Headache,Behavioural & Lifestyle,Cognitive Behavioural Therapy,10,466,https://clinicaltrials.gov/search?cond=%28Headache%29+AND+%28Cognitive+Behavioural+Therapy%29,https://pubmed.ncbi.nlm.nih.gov/?term=%28%22Headache%22+OR+%22headache+disorders%22+OR+%22headache+disorders%2C+primary%22+OR+%22headache%22%29+AND+%28%22Cognitive+Behavioural+Therapy%22+OR+%22cognitive+behavioral+therapy%22+OR+%22cbt%22+OR+%22cognitive+behaviour+therapy%22%29,,,,,Positive,,,,AACT (flat files) + PubMed eSearch,Worldwide,2025-10-06
